id_dest,dest_type,lon,lat
482150205051,bg_centroid,-98.24962919845956,26.2022775307082
482150205063,bg_centroid,-98.25166191174108,26.195995510078248
482150205072,bg_centroid,-98.24613213496337,26.160449131888857
482150205131,bg_centroid,-98.24135371024062,26.179133138254308
482150205132,bg_centroid,-98.25124076025959,26.18688288449815
482150206001,bg_centroid,-98.2423174470637,26.202245079752707
482150206002,bg_centroid,-98.24364193513503,26.197688636302683
482150206003,bg_centroid,-98.24387482565484,26.19386113948907
482150207252,bg_centroid,-98.24791930267621,26.222624103490922
482150207291,bg_centroid,-98.24150056050843,26.2159906926254
482150207292,bg_centroid,-98.24183966552384,26.209259131955726
482150207301,bg_centroid,-98.2488130270051,26.209510717772183
482150207302,bg_centroid,-98.24862772908463,26.21520200606666
482150208041,bg_centroid,-98.2339515318408,26.248612706722824
482150208042,bg_centroid,-98.22978293222283,26.245330241692646
482150208043,bg_centroid,-98.22498036978,26.246935201622204
482150208051,bg_centroid,-98.23081850746208,26.22552282600092
482150208052,bg_centroid,-98.23207755560125,26.220215567260034
482150208053,bg_centroid,-98.2388781839958,26.22454858204152
482150208061,bg_centroid,-98.22875705349624,26.2367136333479
482150208062,bg_centroid,-98.22984610996109,26.231257616170645
482150208063,bg_centroid,-98.23686173415483,26.2354427964187
482150208071,bg_centroid,-98.22426298399162,26.264849271177
482150208072,bg_centroid,-98.23172216571918,26.266076134401644
482150208081,bg_centroid,-98.22508942344635,26.257675198902163
482150208082,bg_centroid,-98.2331297371289,26.258560238081877
482150209051,bg_centroid,-98.20283550824124,26.243806375522556
482150209052,bg_centroid,-98.21675103742537,26.24203895502219
482150209053,bg_centroid,-98.2122871909719,26.241700744211148
482150209061,bg_centroid,-98.2102470927558,26.24918192751332
482150209062,bg_centroid,-98.22048751140727,26.24622778614697
482150209063,bg_centroid,-98.21549811498579,26.249239822995353
482150209071,bg_centroid,-98.20535748324782,26.220643635788317
482150209072,bg_centroid,-98.21065689760125,26.226761639434542
482150209081,bg_centroid,-98.2222642784755,26.222614153431728
482150209082,bg_centroid,-98.21809042132968,26.219951091599494
482150209091,bg_centroid,-98.22140379685206,26.233635703824234
482150209092,bg_centroid,-98.22149962375475,26.227086347601734
482150209101,bg_centroid,-98.2152446970051,26.23500156699474
482150209102,bg_centroid,-98.20483894166993,26.23331373992053
482150210011,bg_centroid,-98.2071970429407,26.207191386550488
482150210012,bg_centroid,-98.21687943125038,26.213068133050186
482150210021,bg_centroid,-98.21852087135197,26.2053371718911
482150210022,bg_centroid,-98.22723859819797,26.206662516915042
